Brand,Product_Name,Price,Polarized Glasses,Prescibed Glasses,Frame_Color,Lense_Color,Eye_Size,Item ID
Ray-Ban,Aviator RX6489,201.6,No,Yes,Silver,Clear  ,55 Eye Size,79189032
Valley,Tomahawk,260,No,No,Crystal with Silver Metal,Black,55 Eye Size,39878751
Oakley,Radar EV Path,333.9,No,No,Matte Grey Ink,Prizm Deep Water Polarised,55 Eye Size,39775104
Ray-Ban,Jim RB3694,219.6,Yes,No,Havana on Gunmetal,Vintage Brown Black Gradient Glass  ,55 Eye Size,31485446
Oakley,BiSphaera,300.6,No,No,Matte Carbon,Prizm ,59 Eye Size,61448395
Oakley,Holbrook,205.2,No,No,Matte Grenache,Prizm Dark Golf,59 Eye Size,29125745
Dolce & Gabbana,DG5025,312.3,No,Yes,Transparent Pink,Clear,59 Eye Size,37592527
Prada,PR23YS,531.9,No,No,Black,Light Brown,59 Eye Size,66198336
Coach,HC8393U,215.9,Yes,No,Caramel Tortoise,Brown Gradient,59 Eye Size,17786816
Ray-Ban,RB3732,259.2,No,No,Arista Gold,Black Polarised Glass  ,59 Eye Size,52381428
Ray-Ban,New Wayfarer Classic RB2132,187.2,No,No,Rubber Havana,Dark Grey Glass  ,52 Eye Size,92786202
Ray-Ban,Old Aviator RB3825,210.6,No,No,Rose Gold,Blue Glass  ,58 Eye Size,63513004
Emporio Armani,EA4225U,192.1,Yes,No,Matte Black,Dark Grey,58 Eye Size,36500513
Tiffany & Co.,TF2236D,460.8,No,Yes,Havana,Clear  ,48 Eye Size,90241561
Prada,PRA01S,531.9,No,No,Black,Light Brown,48 Eye Size,44205366
Miu Miu,09WS,509.4,No,No,Havana Mogano,Grey,48 Eye Size,22944024
Oakley,BiSphaera,237.6,No,No,Matte Black,Prizm Road,48 Eye Size,79953344
Prada,PR09YV,438.3,No,Yes,Black,Clear,48 Eye Size,38067612
Miu Miu,MU54ZS,538.2,No,No,Brass Gold,Dark Brown,48 Eye Size,58948233
Miu Miu,MUA50S,625.5,No,No,Silver,Clear Silver Gradient Mirror,48 Eye Size,47281372
Ray-Ban,Erik RX7215,214.2,No,Yes,Havana,Clear  ,51 Eye Size,63463782
Versace,VE3334,329.4,No,Yes,Black,Clear,51 Eye Size,65819852
Ray-Ban,Erik RX7215,214.2,No,Yes,Striped Havana,Clear  ,51 Eye Size,95923292
Prada,PR26ZS,561.6,Yes,No,Black,Violet,51 Eye Size,84748587
