Brand,Product_Name,Price,Polarized Glasses,Prescibed Glasses,Frame_Color,Lense_Color,Eye_Size,Item ID
Ray-Ban,Aviator RX6489,201.6,No,Yes,Silver,Clear  ,55,79189032
Valley,Tomahawk,260,No,No,Crystal with Silver Metal,Black,55,39878751
Oakley,Radar EV Path,333.9,No,No,Matte Grey Ink,Prizm Deep Water Polarised,55,39775104
Ray-Ban,Jim RB3694,219.6,Yes,No,Havana on Gunmetal,Vintage Brown Black Gradient Glass  ,55,31485446
Oakley,BiSphaera,300.6,No,No,Matte Carbon,Prizm ,59,61448395
Oakley,Holbrook,205.2,No,No,Matte Grenache,Prizm Dark Golf,59,29125745
Dolce & Gabbana,DG5025,312.3,No,Yes,Transparent Pink,Clear,59,37592527
Prada,PR23YS,531.9,No,No,Black,Light Brown,59,66198336
Coach,HC8393U,215.9,Yes,No,Caramel Tortoise,Brown Gradient,59,17786816
Ray-Ban,RB3732,259.2,No,No,Arista Gold,Black Polarised Glass  ,59,52381428
Ray-Ban,New Wayfarer Classic RB2132,187.2,No,No,Rubber Havana,Dark Grey Glass  ,52,92786202
Ray-Ban,Old Aviator RB3825,210.6,No,No,Rose Gold,Blue Glass  ,58,63513004
Emporio Armani,EA4225U,192.1,Yes,No,Matte Black,Dark Grey,58,36500513
Tiffany & Co.,TF2236D,460.8,No,Yes,Havana,Clear  ,48,90241561
Prada,PRA01S,531.9,No,No,Black,Light Brown,48,44205366
Miu Miu,09WS,509.4,No,No,Havana Mogano,Grey,48,22944024
Oakley,BiSphaera,237.6,No,No,Matte Black,Prizm Road,48,79953344
Prada,PR09YV,438.3,No,Yes,Black,Clear,48,38067612
Miu Miu,MU54ZS,538.2,No,No,Brass Gold,Dark Brown,48,58948233
Miu Miu,MUA50S,625.5,No,No,Silver,Clear Silver Gradient Mirror,48,47281372
Ray-Ban,Erik RX7215,214.2,No,Yes,Havana,Clear  ,51,63463782
Versace,VE3334,329.4,No,Yes,Black,Clear,51,65819852
Ray-Ban,Erik RX7215,214.2,No,Yes,Striped Havana,Clear  ,51,95923292
Prada,PR26ZS,561.6,Yes,No,Black,Violet,51,84748587
Ray-Ban,Elliot RX5397,201.6,No,Yes,Havana,Clear  ,48,39734059
Ray-Ban,Frank RX3857V,201.6,No,Yes,Black,Clear,48,73160108
Michael Kors,Flatiron MK2185BU,253.8,No,No,Dark Tortoise,Brown Gradient  ,54,61528121
Boss,1712/F/SK,378,No,No,Gold,Green,54,50716980
Burberry,BE2393D,270,No,Yes,Dark Havana,Clear,54,23892069
Ray-Ban,Mr Burbank RX5383,214.2,No,Yes,Black,Clear,54,14297487
Dolce & Gabbana,DG3372,342,No,Yes,Havana,Clear  ,52,12513177
Valley,Lafayette,260,Yes,No,Gloss Black Light Tan Splice with Rose Gold Metal,Black,52,11693946
Ray-Ban,RB2210,259.2,No,No,Black,Green Polarised Glass,52,53662252
Ray-Ban,Kat RX7327,169.2,No,Yes,Black,Clear  ,50,11172224
Raen,Remmy 52,251.96,Yes,No,Cambria,Green Polarised,50,33712608
Michael Kors,CATALONIA MK1144B,253.8,Yes,No,Shiny Rose Gold,Light Brown and Pink Gradient,50,40314888
Prada,PRA03V,438.3,No,Yes,Black,Clear  ,52,92728317
GUCCI,GG1661S,575,No,No,Black,Grey,52,23466505
Oakley,Holbrook,187.2,No,No,Matte Black and Duality Swirl,Prizm Grey,52,50650721
Michael Kors,Georgetown MK4105BU,225,No,Yes,Pink Tortoise,Clear  ,52,15548150
Versace,VE1286D,329.4,No,Yes,Gold,Clear,52,37648661
Oakley,Ojector,205.2,No,No,Matte Brown Tortoise,Prizm Black,52,15035140
Burberry,BE2405U,496.8,No,Yes,Dark Grey,Clear  ,51,85652406
Prada Linea Rossa,PS04NV,324.9,No,Yes,Black,Clear,51,31080369
Michael Kors,Asheville MK2210U,166.5,Yes,No,Black,Dark Grey,51,49537760
Prada Linea Rossa,PS04QV,352.8,No,Yes,Black Rubber,Clear  ,54,27861337
Isabel Marant,IM 0189/S,400.5,No,No,Green,Grey Green Gradient,54,53229415
Isabel Marant,IM 0189/S,400.5,No,No,Black,Grey,54,90219392
Prada,PR65ZS,440.1,No,No,Pale Gold,Dark Green,54,13492417
Ray-Ban,Wayfarer Way RB2241,210.6,No,No,Black,Green Glass  ,54,21196132
Boss,1718/S,360,No,No,Black,Grey Gradient,54,69065970
Oakley,Radar EV Path,270.9,Yes,No,Matte Grey Ink,Prizm Trail Torch,54,81217390
Prada,PR56ZV,409.5,No,Yes,Pale Gold,Clear,54,56729211
Valley,Tomahawk,280,No,No,Gloss Black with Gold Metal,Black Polarised,54,74783605
Prada Linea Rossa,PS06PV,324.9,No,Yes,Black Rubber,Clear,54,79872429
Prada,PRA06S,561.6,No,No,Transparent Dark Grey,Dark Grey,54,44855040
