Brand,Product_Name,Price,Polarized,Prescription,Frame_Color,Lense_Color,Eye_Size,Item ID
GUCCI,GG1736S,575.0,No,No,Black,Grey,,67279410
GUCCI,GG1732SK,700.0,No,No,Black,Grey,,53115940
GUCCI,GG1719S,495.0,No,No,Black,Grey,,15304140
GUCCI,GG1719S,495.0,No,No,Red,Violet,,31284680
GUCCI,GG1714S,390.0,No,No,Black,Grey Gradient,,30166194
GUCCI,GG1692SA,575.0,No,No,Black,Grey,,27677761
GUCCI,GG1663S,675.0,No,No,Black,Grey,,79803110
GUCCI,GG1778S,655.0,No,No,Black,Grey,,78716885
GUCCI,GG1732SK,700.0,No,No,Havana,Brown,,62434144
GUCCI,GG1703S,855.0,No,No,Silver,Green,,16955649
GUCCI,GG1703S,855.0,No,No,Gold,Brown,,51816498
GUCCI,GG1680S,555.0,No,No,Havana,Brown,,87350913
GUCCI,GG1680S,555.0,No,No,Black,Grey,,57909652
GUCCI,GG1664S,700.0,No,No,Havana,Brown,,63696904
GUCCI,GG1664S,700.0,No,No,Black,Grey,,76781640
GUCCI,GG1661S,575.0,No,No,Black,Grey,,23466505
GUCCI,GG1638SA,780.0,No,No,Black,Grey,,97234223
Miu Miu,MUA50S,625.5,No,No,Silver,Clear Silver Gradient Mirror,,47281372
Miu Miu,MU56ZS,538.2,No,No,Gold,Light Purple Brown,,29471047
Miu Miu,MU54ZS,538.2,No,No,Pale Gold,Dark Grey,,34546638
Miu Miu,MU54ZS,538.2,No,No,Brass Gold,Dark Brown,,58948233
Miu Miu,MU14ZS,538.2,No,No,Black,Dark Grey,,72046777
Miu Miu,MU14ZS,538.2,No,No,Transparent Mauve,Light Purple Brown,,12825509
Miu Miu,MU11ZS,509.4,No,No,Moka,Light Blue,,34874147
Miu Miu,MU11ZS,509.4,No,No,Mahogany Havana,Grey,,10642439
Miu Miu,MU11ZS,509.4,No,No,Honey Havana,Light Purple Brown,,33033499
Miu Miu,11WS,509.4,No,No,Mahogany Havana,Grey,,50797433
Miu Miu,11WS,509.4,No,No,Honey Havana,Light Green,,41741775
Miu Miu,11WS,509.4,No,No,Honey Havana,Light Purple Brown,,86466117
Miu Miu,MU09ZS,596.7,No,No,Caramel,Clear Silver Gradient Mirror,,10615955
Miu Miu,09WS,509.4,No,No,Havana Mogano,Grey,,22944024
Miu Miu,09WS,509.4,No,No,Honey Havana,Green,,69809200
Boss,1712/F/SK,378.0,No,No,Gold,Green,,50716980
Boss,1739/F/SK,360.0,No,No,Black,Grey,,86770315
